indx,text
2049,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 165029000.0, Total Non Current Assets is 203815000.0, Current Liabilities is 37190000.0, Total Non Current Liabilities Net Minority Interest is 27839000.0, Stockholders Equity is 303815000.0, Market Cap is 530006720, Industry is Business Equipment & Supplies, Employees is 1941.0, City is Midlothian, EBITDA Margins is 0.17037001, Profit Margins is 0.10155, Gross Margins is 0.29412, Day High is 20.4326,.
"
2050,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 148074000.0, Total Non Current Assets is 216314000.0, Current Liabilities is 35052000.0, Total Non Current Liabilities Net Minority Interest is 28787000.0, Stockholders Equity is 300549000.0, Market Cap is 530006720, Industry is Business Equipment & Supplies, Employees is 1941.0, City is Midlothian, EBITDA Margins is 0.17037001, Profit Margins is 0.10155, Gross Margins is 0.29412, Day High is 20.4326,.
"
2051,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 518124000.0, Total Non Current Assets is 5385314000.0, Current Liabilities is 167681000.0, Total Non Current Liabilities Net Minority Interest is 2540335000.0, Stockholders Equity is 2681887000.0, Market Cap is 1262098304, Industry is REIT - Office, Employees is 844.0, City is Bethesda, EBITDA Margins is 0.40123, Profit Margins is -0.20497, Gross Margins is 0.50969005, Day High is 15.0,.
"
2052,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 557898000.0, Total Non Current Assets is 5828308000.0, Current Liabilities is 438739000.0, Total Non Current Liabilities Net Minority Interest is 2486325000.0, Stockholders Equity is 2915910000.0, Market Cap is 1262098304, Industry is REIT - Office, Employees is 844.0, City is Bethesda, EBITDA Margins is 0.40123, Profit Margins is -0.20497, Gross Margins is 0.50969005, Day High is 15.0,.
"
2053,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 532346000.0, Total Non Current Assets is 5547201000.0, Current Liabilities is 137177000.0, Total Non Current Liabilities Net Minority Interest is 2205416000.0, Stockholders Equity is 3206039000.0, Market Cap is 1262098304, Industry is REIT - Office, Employees is 844.0, City is Bethesda, EBITDA Margins is 0.40123, Profit Margins is -0.20497, Gross Margins is 0.50969005, Day High is 15.0,.
"
2054,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 134555000.0, Total Non Current Assets is 15609000.0, Current Liabilities is 17237000.0, Total Non Current Liabilities Net Minority Interest is 43025000.0, Stockholders Equity is 89902000.0, Market Cap is 1283295232, Industry is Medical Devices, Employees is 374.0, City is Aliso Viejo, EBITDA Margins is -0.27259, Profit Margins is -0.23924999, Gross Margins is 0.68444, Day High is 32.04,.
"
2055,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 176295000.0, Total Non Current Assets is 16426000.0, Current Liabilities is 11077000.0, Total Non Current Liabilities Net Minority Interest is 43402000.0, Stockholders Equity is 138242000.0, Market Cap is 1283295232, Industry is Medical Devices, Employees is 374.0, City is Aliso Viejo, EBITDA Margins is -0.27259, Profit Margins is -0.23924999, Gross Margins is 0.68444, Day High is 32.04,.
"
2056,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 81500000.0, Total Non Current Assets is 19177000.0, Current Liabilities is 11600000.0, Total Non Current Liabilities Net Minority Interest is 386606000.0, Stockholders Equity is -297529000.0, Market Cap is 1283295232, Industry is Medical Devices, Employees is 374.0, City is Aliso Viejo, EBITDA Margins is -0.27259, Profit Margins is -0.23924999, Gross Margins is 0.68444, Day High is 32.04,.
"
2057,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5342183.0, Total Non Current Assets is 22686023.0, Current Liabilities is 11285663.0, Total Non Current Liabilities Net Minority Interest is 3219843.0, Stockholders Equity is 15416598.0, Market Cap is 23400, Industry is Leisure, Employees is 45.0, City is Fairport, EBITDA Margins is nan, Profit Margins is nan, Gross Margins is -0.020060001, Day High is 0.0018,.
"
2058,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1870000000.0, Total Non Current Assets is 5425000000.0, Current Liabilities is 1450000000.0, Total Non Current Liabilities Net Minority Interest is 3996000000.0, Stockholders Equity is 1848000000.0, Market Cap is 2621139200, Industry is Luxury Goods, Employees is 10200.0, City is London, EBITDA Margins is 0.08132, Profit Margins is -0.074439995, Gross Margins is 0.64178, Day High is 22.28,.
"
2059,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1891000000.0, Total Non Current Assets is 5589000000.0, Current Liabilities is 1566000000.0, Total Non Current Liabilities Net Minority Interest is 3356000000.0, Stockholders Equity is 2559000000.0, Market Cap is 2621139200, Industry is Luxury Goods, Employees is 10200.0, City is London, EBITDA Margins is 0.08132, Profit Margins is -0.074439995, Gross Margins is 0.64178, Day High is 22.28,.
"
2060,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1546000000.0, Total Non Current Assets is 5935000000.0, Current Liabilities is 1621000000.0, Total Non Current Liabilities Net Minority Interest is 3703000000.0, Stockholders Equity is 2158000000.0, Market Cap is 2621139200, Industry is Luxury Goods, Employees is 10200.0, City is London, EBITDA Margins is 0.08132, Profit Margins is -0.074439995, Gross Margins is 0.64178, Day High is 22.28,.
"
2061,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9214340.0, Total Non Current Assets is 4807410.0, Current Liabilities is 571442.0, Total Non Current Liabilities Net Minority Interest is 328316.0, Stockholders Equity is 13121992.0, Market Cap is 36543424, Industry is Scientific & Technical Instruments, Employees is 43.0, City is Ontario, EBITDA Margins is nan, Profit Margins is -2.64893, Gross Margins is 0.15425, Day High is 4.9699,.
"
2062,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1007630.0, Total Non Current Assets is 4585698.0, Current Liabilities is 527559.0, Total Non Current Liabilities Net Minority Interest is 261157.0, Stockholders Equity is 4804612.0, Market Cap is 36543424, Industry is Scientific & Technical Instruments, Employees is 43.0, City is Ontario, EBITDA Margins is nan, Profit Margins is -2.64893, Gross Margins is 0.15425, Day High is 4.9699,.
"
2063,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 202868000.0, Total Non Current Assets is 2985000.0, Current Liabilities is 32898000.0, Total Non Current Liabilities Net Minority Interest is 96180000.0, Stockholders Equity is 76775000.0, Market Cap is 8405905, Industry is Biotechnology, Employees is 74.0, City is New Haven, EBITDA Margins is nan, Profit Margins is nan, Gross Margins is 0.43113, Day High is 2.75,.
"
2064,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 236812000.0, Total Non Current Assets is 2627000.0, Current Liabilities is 16667000.0, Total Non Current Liabilities Net Minority Interest is 1105000.0, Stockholders Equity is 221667000.0, Market Cap is 8405905, Industry is Biotechnology, Employees is 74.0, City is New Haven, EBITDA Margins is nan, Profit Margins is nan, Gross Margins is 0.43113, Day High is 2.75,.
"
2065,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 217065000.0, Total Non Current Assets is 2871000.0, Current Liabilities is 11842000.0, Total Non Current Liabilities Net Minority Interest is 1398000.0, Stockholders Equity is 206696000.0, Market Cap is 8405905, Industry is Biotechnology, Employees is 74.0, City is New Haven, EBITDA Margins is nan, Profit Margins is nan, Gross Margins is 0.43113, Day High is 2.75,.
"
2066,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 252266000.0, Total Non Current Assets is 34387000.0, Current Liabilities is 15427000.0, Total Non Current Liabilities Net Minority Interest is 17258000.0, Stockholders Equity is 253968000.0, Market Cap is 469500832, Industry is Medical Devices, Employees is 143.0, City is Rockville, EBITDA Margins is -0.92177004, Profit Margins is -0.78370005, Gross Margins is 0.85982, Day High is 4.18,.
"
2067,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 270432800.0, Total Non Current Assets is 13687200.0, Current Liabilities is 15617800.0, Total Non Current Liabilities Net Minority Interest is 5605100.0, Stockholders Equity is 262897100.0, Market Cap is 469500832, Industry is Medical Devices, Employees is 143.0, City is Rockville, EBITDA Margins is -0.92177004, Profit Margins is -0.78370005, Gross Margins is 0.85982, Day High is 4.18,.
"
2068,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 45253400.0, Total Non Current Assets is 6526700.0, Current Liabilities is 11614300.0, Total Non Current Liabilities Net Minority Interest is 6940400.0, Stockholders Equity is 33225400.0, Market Cap is 469500832, Industry is Medical Devices, Employees is 143.0, City is Rockville, EBITDA Margins is -0.92177004, Profit Margins is -0.78370005, Gross Margins is 0.85982, Day High is 4.18,.
"
2069,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 704500000.0, Total Non Current Assets is 997300000.0, Current Liabilities is 795400000.0, Total Non Current Liabilities Net Minority Interest is 733500000.0, Stockholders Equity is 172900000.0, Market Cap is 353887328, Industry is Specialty Business Services, Employees is 13000.0, City is Sussex, EBITDA Margins is 0.08253, Profit Margins is -0.028199999, Gross Margins is 0.20924999, Day High is 6.885,.
"
2070,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 809100000.0, Total Non Current Assets is 1080900000.0, Current Liabilities is 957100000.0, Total Non Current Liabilities Net Minority Interest is 796100000.0, Stockholders Equity is 136800000.0, Market Cap is 353887328, Industry is Specialty Business Services, Employees is 13000.0, City is Sussex, EBITDA Margins is 0.08253, Profit Margins is -0.028199999, Gross Margins is 0.20924999, Day High is 6.885,.
"
2071,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 679200000.0, Total Non Current Assets is 1248500000.0, Current Liabilities is 682700000.0, Total Non Current Liabilities Net Minority Interest is 1160200000.0, Stockholders Equity is 84100000.0, Market Cap is 353887328, Industry is Specialty Business Services, Employees is 13000.0, City is Sussex, EBITDA Margins is 0.08253, Profit Margins is -0.028199999, Gross Margins is 0.20924999, Day High is 6.885,.
"
2072,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 598144000.0, Total Non Current Assets is 3288950000.0, Current Liabilities is 266904000.0, Total Non Current Liabilities Net Minority Interest is 2574741000.0, Stockholders Equity is 1037798000.0, Market Cap is 559168960, Industry is Telecom Services, Employees is 3180.0, City is Mattoon, EBITDA Margins is 0.24515, Profit Margins is -0.17146999, Gross Margins is 0.57675, Day High is 4.72,.
"
2073,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 427815000.0, Total Non Current Assets is 3284877000.0, Current Liabilities is 285545000.0, Total Non Current Liabilities Net Minority Interest is 2590771000.0, Stockholders Equity is 829289000.0, Market Cap is 559168960, Industry is Telecom Services, Employees is 3180.0, City is Mattoon, EBITDA Margins is 0.24515, Profit Margins is -0.17146999, Gross Margins is 0.57675, Day High is 4.72,.
"
2074,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 340661000.0, Total Non Current Assets is 3166639000.0, Current Liabilities is 270470000.0, Total Non Current Liabilities Net Minority Interest is 2847602000.0, Stockholders Equity is 382533000.0, Market Cap is 559168960, Industry is Telecom Services, Employees is 3180.0, City is Mattoon, EBITDA Margins is 0.24515, Profit Margins is -0.17146999, Gross Margins is 0.57675, Day High is 4.72,.
"
2075,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3556000000.0, Total Non Current Assets is 7196000000.0, Current Liabilities is 2104000000.0, Total Non Current Liabilities Net Minority Interest is 4027000000.0, Stockholders Equity is 4575000000.0, Market Cap is 15103613952, Industry is Building Products & Equipment, Employees is 18000.0, City is Toledo, EBITDA Margins is 0.23115, Profit Margins is 0.09924, Gross Margins is 0.30108, Day High is 176.935,.
"
2076,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3097000000.0, Total Non Current Assets is 6918000000.0, Current Liabilities is 1697000000.0, Total Non Current Liabilities Net Minority Interest is 3983000000.0, Stockholders Equity is 4296000000.0, Market Cap is 15103613952, Industry is Building Products & Equipment, Employees is 18000.0, City is Toledo, EBITDA Margins is 0.23115, Profit Margins is 0.09924, Gross Margins is 0.30108, Day High is 176.935,.
"
2077,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2606000000.0, Total Non Current Assets is 6875000000.0, Current Liabilities is 1440000000.0, Total Non Current Liabilities Net Minority Interest is 4100000000.0, Stockholders Equity is 3901000000.0, Market Cap is 15103613952, Industry is Building Products & Equipment, Employees is 18000.0, City is Toledo, EBITDA Margins is 0.23115, Profit Margins is 0.09924, Gross Margins is 0.30108, Day High is 176.935,.
"
2078,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2384900000.0, Total Non Current Assets is 10587800000.0, Current Liabilities is 1480300000.0, Total Non Current Liabilities Net Minority Interest is 6239800000.0, Stockholders Equity is 5252600000.0, Market Cap is 12286894080, Industry is Medical Instruments & Supplies, Employees is 14500.0, City is Radnor, EBITDA Margins is 0.15785, Profit Margins is 0.0454, Gross Margins is 0.33532003, Day High is 18.265,.
"
2079,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2657900000.0, Total Non Current Assets is 10806400000.0, Current Liabilities is 1658800000.0, Total Non Current Liabilities Net Minority Interest is 6950100000.0, Stockholders Equity is 4855400000.0, Market Cap is 12286894080, Industry is Medical Instruments & Supplies, Employees is 14500.0, City is Radnor, EBITDA Margins is 0.15785, Profit Margins is 0.0454, Gross Margins is 0.33532003, Day High is 18.265,.
"
2080,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2477200000.0, Total Non Current Assets is 11420000000.0, Current Liabilities is 1450800000.0, Total Non Current Liabilities Net Minority Interest is 8249400000.0, Stockholders Equity is 4197000000.0, Market Cap is 12286894080, Industry is Medical Instruments & Supplies, Employees is 14500.0, City is Radnor, EBITDA Margins is 0.15785, Profit Margins is 0.0454, Gross Margins is 0.33532003, Day High is 18.265,.
"
2081,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 407923000.0, Total Non Current Assets is 472908000.0, Current Liabilities is 248241000.0, Total Non Current Liabilities Net Minority Interest is 347231000.0, Stockholders Equity is 270422000.0, Market Cap is 196171888, Industry is Advertising Agencies, Employees is 1657.0, City is Santa Monica, EBITDA Margins is 0.03657, Profit Margins is -0.09664, Gross Margins is 0.16736001, Day High is 2.205,.
"
2082,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 408478000.0, Total Non Current Assets is 442836000.0, Current Liabilities is 224862000.0, Total Non Current Liabilities Net Minority Interest is 369554000.0, Stockholders Equity is 256926000.0, Market Cap is 196171888, Industry is Advertising Agencies, Employees is 1657.0, City is Santa Monica, EBITDA Margins is 0.03657, Profit Margins is -0.09664, Gross Margins is 0.16736001, Day High is 2.205,.
"
2083,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 310065000.0, Total Non Current Assets is 437276000.0, Current Liabilities is 137139000.0, Total Non Current Liabilities Net Minority Interest is 300941000.0, Stockholders Equity is 275980000.0, Market Cap is 196171888, Industry is Advertising Agencies, Employees is 1657.0, City is Santa Monica, EBITDA Margins is 0.03657, Profit Margins is -0.09664, Gross Margins is 0.16736001, Day High is 2.205,.
"
2084,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 795023000.0, Total Non Current Assets is 3478225000.0, Current Liabilities is 565199000.0, Total Non Current Liabilities Net Minority Interest is 258248000.0, Stockholders Equity is 3448085000.0, Market Cap is 2482103040, Industry is Specialty Industrial Machinery, Employees is 6550.0, City is Wilmington, EBITDA Margins is 0.14809, Profit Margins is -0.05955, Gross Margins is 0.5895, Day High is 43.74,.
"
2085,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2303279000.0, Total Non Current Assets is 6212633000.0, Current Liabilities is 1023584000.0, Total Non Current Liabilities Net Minority Interest is 2830895000.0, Stockholders Equity is 4617378000.0, Market Cap is 2482103040, Industry is Specialty Industrial Machinery, Employees is 6550.0, City is Wilmington, EBITDA Margins is 0.14809, Profit Margins is -0.05955, Gross Margins is 0.5895, Day High is 43.74,.
"
2086,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1361829000.0, Total Non Current Assets is 5989720000.0, Current Liabilities is 811658000.0, Total Non Current Liabilities Net Minority Interest is 2952017000.0, Stockholders Equity is 3543387000.0, Market Cap is 2482103040, Industry is Specialty Industrial Machinery, Employees is 6550.0, City is Wilmington, EBITDA Margins is 0.14809, Profit Margins is -0.05955, Gross Margins is 0.5895, Day High is 43.74,.
"
2087,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2568445000.0, Total Non Current Assets is 31096521000.0, Current Liabilities is 4039701000.0, Total Non Current Liabilities Net Minority Interest is 30129177000.0, Stockholders Equity is -475211000.0, Market Cap is 1346671872, Industry is Telecom Services, Employees is 10600.0, City is Long Island City, EBITDA Margins is 0.37666, Profit Margins is -0.01847, Gross Margins is 0.67630994, Day High is 2.98,.
"
2088,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 789634000.0, Total Non Current Assets is 32425400000.0, Current Liabilities is 2735119000.0, Total Non Current Liabilities Net Minority Interest is 31350817000.0, Stockholders Equity is -819788000.0, Market Cap is 1346671872, Industry is Telecom Services, Employees is 10600.0, City is Long Island City, EBITDA Margins is 0.37666, Profit Margins is -0.01847, Gross Margins is 0.67630994, Day High is 2.98,.
"
2089,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 976566000.0, Total Non Current Assets is 32400094000.0, Current Liabilities is 3098103000.0, Total Non Current Liabilities Net Minority Interest is 31481696000.0, Stockholders Equity is -1141030000.0, Market Cap is 1346671872, Industry is Telecom Services, Employees is 10600.0, City is Long Island City, EBITDA Margins is 0.37666, Profit Margins is -0.01847, Gross Margins is 0.67630994, Day High is 2.98,.
"
2090,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 545000000.0, Total Non Current Assets is 3579000000.0, Current Liabilities is 406000000.0, Total Non Current Liabilities Net Minority Interest is 2755000000.0, Stockholders Equity is 962000000.0, Market Cap is 8443250176, Industry is Lodging, Employees is 2300.0, City is Parsippany, EBITDA Margins is 0.44035, Profit Margins is 0.18294, Gross Margins is 0.68836, Day High is 108.945,.
"
2091,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 720000000.0, Total Non Current Assets is 3549000000.0, Current Liabilities is 397000000.0, Total Non Current Liabilities Net Minority Interest is 2783000000.0, Stockholders Equity is 1089000000.0, Market Cap is 8443250176, Industry is Lodging, Employees is 2300.0, City is Parsippany, EBITDA Margins is 0.44035, Profit Margins is 0.18294, Gross Margins is 0.68836, Day High is 108.945,.
"
2092,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 900000000.0, Total Non Current Assets is 3744000000.0, Current Liabilities is 346000000.0, Total Non Current Liabilities Net Minority Interest is 3335000000.0, Stockholders Equity is 963000000.0, Market Cap is 8443250176, Industry is Lodging, Employees is 2300.0, City is Parsippany, EBITDA Margins is 0.44035, Profit Margins is 0.18294, Gross Margins is 0.68836, Day High is 108.945,.
"
2093,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2925900000.0, Total Non Current Assets is 2332500000.0, Current Liabilities is 764800000.0, Total Non Current Liabilities Net Minority Interest is 1975300000.0, Stockholders Equity is 2517600000.0, Market Cap is 2011697536, Industry is Household & Personal Products, Employees is 3100.0, City is Middleton, EBITDA Margins is 0.0765, Profit Margins is 0.03855, Gross Margins is 0.36200002, Day High is 76.8,.
"
2094,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3235300000.0, Total Non Current Assets is 2540300000.0, Current Liabilities is 1188100000.0, Total Non Current Liabilities Net Minority Interest is 3318400000.0, Stockholders Equity is 1263200000.0, Market Cap is 2011697536, Industry is Household & Personal Products, Employees is 3100.0, City is Middleton, EBITDA Margins is 0.0765, Profit Margins is 0.03855, Gross Margins is 0.36200002, Day High is 76.8,.
"
2095,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2913600000.0, Total Non Current Assets is 2426800000.0, Current Liabilities is 1164100000.0, Total Non Current Liabilities Net Minority Interest is 2697300000.0, Stockholders Equity is 1471900000.0, Market Cap is 2011697536, Industry is Household & Personal Products, Employees is 3100.0, City is Middleton, EBITDA Margins is 0.0765, Profit Margins is 0.03855, Gross Margins is 0.36200002, Day High is 76.8,.
"
2096,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 120404000.0, Total Non Current Assets is 3859573000.0, Current Liabilities is 341693000.0, Total Non Current Liabilities Net Minority Interest is 2251949000.0, Stockholders Equity is 1386335000.0, Market Cap is 65139840, Industry is REIT - Office, Employees is nan, City is Newton, EBITDA Margins is 0.54622, Profit Margins is -0.04749, Gross Margins is 0.82068, Day High is 0.95,.
"
2097,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 223999000.0, Total Non Current Assets is 4017684000.0, Current Liabilities is 149990000.0, Total Non Current Liabilities Net Minority Interest is 2594984000.0, Stockholders Equity is 1496709000.0, Market Cap is 65139840, Industry is REIT - Office, Employees is nan, City is Newton, EBITDA Margins is 0.54622, Profit Margins is -0.04749, Gross Margins is 0.82068, Day High is 0.95,.
"
2098,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 233798000.0, Total Non Current Assets is 3712638000.0, Current Liabilities is 123485000.0, Total Non Current Liabilities Net Minority Interest is 2213559000.0, Stockholders Equity is 1609392000.0, Market Cap is 65139840, Industry is REIT - Office, Employees is nan, City is Newton, EBITDA Margins is 0.54622, Profit Margins is -0.04749, Gross Margins is 0.82068, Day High is 0.95,.
"
2099,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1371281000.0, Total Non Current Assets is 6043272000.0, Current Liabilities is 1172543000.0, Total Non Current Liabilities Net Minority Interest is 3894379000.0, Stockholders Equity is 2347631000.0, Market Cap is 4463480832, Industry is Airlines, Employees is 11470.0, City is Saint George, EBITDA Margins is 0.22940001, Profit Margins is 0.07289, Gross Margins is 0.31340998, Day High is 111.95,.
"
2100,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1068593000.0, Total Non Current Assets is 6057354000.0, Current Liabilities is 1194621000.0, Total Non Current Liabilities Net Minority Interest is 3663812000.0, Stockholders Equity is 2267514000.0, Market Cap is 4463480832, Industry is Airlines, Employees is 11470.0, City is Saint George, EBITDA Margins is 0.22940001, Profit Margins is 0.07289, Gross Margins is 0.31340998, Day High is 111.95,.
"
2101,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 982802000.0, Total Non Current Assets is 5904820000.0, Current Liabilities is 941722000.0, Total Non Current Liabilities Net Minority Interest is 3806355000.0, Stockholders Equity is 2139545000.0, Market Cap is 4463480832, Industry is Airlines, Employees is 11470.0, City is Saint George, EBITDA Margins is 0.22940001, Profit Margins is 0.07289, Gross Margins is 0.31340998, Day High is 111.95,.
"
2102,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 356500000.0, Total Non Current Assets is 38564000.0, Current Liabilities is 71393000.0, Total Non Current Liabilities Net Minority Interest is 15932000.0, Stockholders Equity is 307739000.0, Market Cap is 883861056, Industry is Apparel Manufacturing, Employees is 343.0, City is Santa Monica, EBITDA Margins is 0.02416, Profit Margins is 0.01975, Gross Margins is 0.67674005, Day High is 5.225,.
"
2103,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 293339000.0, Total Non Current Assets is 18412000.0, Current Liabilities is 62393000.0, Total Non Current Liabilities Net Minority Interest is 3785000.0, Stockholders Equity is 245573000.0, Market Cap is 883861056, Industry is Apparel Manufacturing, Employees is 343.0, City is Santa Monica, EBITDA Margins is 0.02416, Profit Margins is 0.01975, Gross Margins is 0.67674005, Day High is 5.225,.
"
2104,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 120313000.0, Total Non Current Assets is 13542000.0, Current Liabilities is 32519000.0, Total Non Current Liabilities Net Minority Interest is 3659000.0, Stockholders Equity is 97677000.0, Market Cap is 883861056, Industry is Apparel Manufacturing, Employees is 343.0, City is Santa Monica, EBITDA Margins is 0.02416, Profit Margins is 0.01975, Gross Margins is 0.67674005, Day High is 5.225,.
"
2105,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1626000000.0, Total Non Current Assets is 1978000000.0, Current Liabilities is 822000000.0, Total Non Current Liabilities Net Minority Interest is 1375000000.0, Stockholders Equity is 1264000000.0, Market Cap is 4656000512, Industry is Specialty Chemicals, Employees is nan, City is Boston, EBITDA Margins is 0.19554001, Profit Margins is 0.09514, Gross Margins is 0.24412, Day High is 86.05,.
"
2106,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1820000000.0, Total Non Current Assets is 1705000000.0, Current Liabilities is 1105000000.0, Total Non Current Liabilities Net Minority Interest is 1388000000.0, Stockholders Equity is 898000000.0, Market Cap is 4656000512, Industry is Specialty Chemicals, Employees is nan, City is Boston, EBITDA Margins is 0.19554001, Profit Margins is 0.09514, Gross Margins is 0.24412, Day High is 86.05,.
"
2107,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 1425000000.0, Total Non Current Assets is 1881000000.0, Current Liabilities is 1147000000.0, Total Non Current Liabilities Net Minority Interest is 1069000000.0, Stockholders Equity is 947000000.0, Market Cap is 4656000512, Industry is Specialty Chemicals, Employees is nan, City is Boston, EBITDA Margins is 0.19554001, Profit Margins is 0.09514, Gross Margins is 0.24412, Day High is 86.05,.
"
2108,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 920955000.0, Total Non Current Assets is 5022315000.0, Current Liabilities is 927125000.0, Total Non Current Liabilities Net Minority Interest is 2355479000.0, Stockholders Equity is 2660666000.0, Market Cap is 15727206400, Industry is Specialty Retail, Employees is 20935.0, City is Ankeny, EBITDA Margins is 0.07204, Profit Margins is 0.03399, Gross Margins is 0.22698, Day High is 434.76,.
"
